DTL_ADRES,XCORD,LO,CHCK_MATTER_WKEND_HDAY_OPN_AT,WKEND_HDAY_OPER_BEGIN_TIME,MODF_TIME,ARCD,WKDAY_OPER_BEGIN_TIME,YEAR,USE_PSBL_NMPR,CHCK_MATTER_NIGHT_OPN_AT,RSTR_NM,WKEND_HDAY_OPER_END_TIME,CHCK_MATTER_STAYNG_PSBL_AT,MNGDPT_CD,COLR_HOLD_ARCNDTN,OPER_END_DE,RN_DTL_ADRES,OPER_BEGIN_DE,FCLTY_OPRN_AT,INPT_TIME,DTL_POSITION,WKDAY_OPER_END_TIME,FCLTY_SCLAS,COLR_HOLD_ELEFN,AR,YCORD,USE_AT,LA,RSTR_FCLTY_NO,RM,FCLTY_TY
"299-3",934025.201498,126.7537335,"N",,"2025-05-11 15:17:34.000","4119459000","0900","2025",5,"N","부천시흥원예농협송내역지점",,"N","3860750",2,"20240930","경기도 부천시 소사구 송내대로 34 (송내동)","20240805","Y","2024-08-08 14:53:33.000",,"1600","001",0,30,1943305.062161,"Y",37.486635,4119401150,,"004"
"394-2",,126.7542189,"N",,"2025-05-07 19:55:52.000","4119268000","0900","2025",15,"N","부천시립동화도서관",,"N","3860750",8,"20240930","경기도 부천시 원미구 장말로 107 (상동)","20240805","Y","2024-08-08 11:32:22.000",,"1800","002",0,513,,"Y",37.4947796,4119201157,,"001"
"800",894175.758239,126.299538,,,"2024-04-02 13:44:50.000","2871041000",,"2025",10,,"석모3리마을회관정자",,,"3570141",,,"인천광역시 강화군 삼산면 삼산남로1161번길 56-1 ",,"Y","2021-05-22 10:16:00.000","석모3리 마을회관 정자",,"002",,12,1967627.139055,"Y",37.702108,2871000268,,"002"
"403-0",931987.199306,126.7304492,,,"2025-05-02 11:07:40.000","2823764200","1800","2025",8,,"굴포누리기후변화체험관쉼터",,,"3540165",0,,"인천광역시 부평구 장제로 267",,"Y","2021-01-31 17:12:04.000","체험관 정문 앞 다목적 광장","2400","002",0,50,1945830.34357,"Y",37.5092471,2823801,,"002"
"386-0",933159.510047,126.7435691,,,"2025-05-02 11:17:00.000","2823764600","1800","2025",300,,"후정공원",,,"3540080",0,,"인천광역시 부평구 영성서로 58",,"Y","2021-01-31 17:12:04.000",,"2400","001",0,22208,1947407.0063,"Y",37.5235431,2823802,,"002"
"600-9",,126.735083,"N",,"2024-07-24 13:56:14.000","2820069000","0900","2025",50,"N","푸르내마을경로당",,"N","3530199",1,"20230930","인천광역시 남동구 포구로 98","20230520","Y","2021-03-08 09:03:04.000",,"1800","001",3,180,,"Y",37.406987,28200170,,"003"
"602-1",,126.732812,"N","1000","2024-07-24 13:56:14.000","2820069000","1000","2025",45,"N","단풍마을경로당","1700","N","3530199",2,"20230930","인천광역시 남동구 소래역로 94","20230520","Y","2021-03-08 09:03:04.000",,"1700","001",2,129.34,,"Y",37.40551,28200171,,"003"
"278-1",,126.6109024,"N","0900","2025-04-30 15:25:24.000","4157025000","1300","2025",34,"N","귀전1리경로당","1800","N","4090449",1,"20230930","경기도 김포시 통진읍 귀전로 116","20230520","Y","2021-03-09 15:48:45.000",,"1700","001",0,111,,"Y",37.7201941,41570034,,"003"
"779-4",,126.6136,"N","0900","2025-04-30 14:54:34.000","4157025000","1300","2025",26,"N","도사3리경로당","1800","N","4090449",1,"20230930","경기도 김포시 통진읍흥신로254번길 10-52","20230520","Y","2021-03-09 15:48:45.000",,"1700","001",3,84.4,,"Y",37.6803,41570035,,"003"
"587-5",929911.431105,126.7073421,,,"2025-05-02 11:23:08.000","2823769000","1800","2025",50,,"약산놀이공원",,,"3540042",0,,"인천광역시 부평구 동암산로33번길 6-16",,"Y","2021-01-31 17:12:04.000",,"2400","001",0,1648.9,1941864.6676,"Y",37.4733499,2823809,,"002"
"629-1 도림주공그린빌1단지아파트",,126.731791,"N","1300","2024-07-24 13:56:14.000","2820066000","1300","2025",36,"N","도림주공아파트1단지경로당","1700","N","3530199",1,"20230930","인천광역시 남동구 논고개로334번길 17 (도림동, 도림주공그린빌1단지아파트)","20230520","Y","2021-03-08 09:03:04.000",,"1700","001",1,99,,"Y",37.420014,28200165,,"003"
"630-1 도림주공그린빌2단지아파트",,126.7292659,"N","1300","2024-07-24 13:56:14.000","2820066000","1300","2025",33,"N","도림주공아파트2단지경로당","1700","N","3530199",1,"20230930","인천광역시 남동구 오봉로 33 (도림동, 도림주공그린빌2단지아파트)","20230520","Y","2021-03-08 09:03:04.000",,"1700","001",1,77,,"Y",37.4177327,28200166,,"003"
"651-2",931964.014031,126.7310795,"N","1300","2024-08-02 10:54:21.000","2820066000","1300","2025",25,,"도림아이파크경로당","1700",,"3530199",1,"20230930","인천광역시 남동구 도리미로 8 (도림동, 도림 아이파크)","20230520","Y","2021-03-08 09:03:04.000",,"1700","001",1,116,1936165.624045,"Y",37.4221382,28200167,,"003"
"654-2 벽산블루밍",,126.728234,"N","1300","2024-07-24 13:56:14.000","2820066000","1300","2025",30,"N","도림벽산블루밍아파트","1700","N","3530199",1,"20230930","인천광역시 남동구 도림로 8 (도림동, 벽산블루밍)","20230520","Y","2021-03-08 09:03:04.000",,"1700","001",1,113,,"Y",37.420579,28200168,,"003"
"354-1",,126.7152252,"N",,"2024-07-24 13:56:14.000","2820066000","0900","2025",30,"N","남촌도림동행정복지센터",,"N","3530199",1,"20230930","인천광역시 남동구 남촌동로 32 (남촌동)","20230520","Y","2021-03-08 09:03:04.000",,"1800","001",0,2543,,"Y",37.43225,28200169,,"001"
"261-1",929956.009969,126.7075579,,,"2025-05-02 11:01:25.000","2823758000","1800","2025",300,,"마장공원",,,"3540029",0,,"인천광역시 부평구 마장로264번길 84 (산곡동)",,"Y","2021-01-31 17:12:04.000",,"2400","001",0,15020,1944893.915959,"Y",37.5006554,2823796,,"002"
"58-3",929372.294059,126.7008128,,,"2025-05-02 11:03:21.000","2823759100","1800","2025",261,,"뫼골문화공원",,,"3540032",0,,"인천광역시 부평구 세월천로 82",,"Y","2021-01-31 17:12:04.000",,"2400","001",0,8599,1946369.286815,"Y",37.5139081,2823798,,"002"
"166-1",931468.890851,126.7244864,,,"2025-05-02 11:04:18.000","2823764100","1800","2025",92,,"갈산공원",,,"3540034",0,,"인천광역시 부평구 부평대로296번길 69-17",,"Y","2021-01-31 17:12:04.000",,"2400","001",0,3042,1946888.570535,"Y",37.5187464,2823799,"추가 관리자 : 갈산1동 자율방재단 동대표, 부동대표","002"
"443-1",932532.650792,126.7365821,,,"2025-05-02 11:17:50.000","2823764800","1800","2025",300,,"시냇물공원",,,"3540081",0,,"인천광역시 부평구 충선로 262 (삼산동)",,"Y","2021-01-31 17:12:04.000",,"2400","001",0,20353,1946247.206198,"Y",37.5130443,2823803,"추가 관리자 : 삼산2동 자율방재단 동대표, 부동대표","002"
"972-0",,126.6214202,"N","0900","2025-04-30 15:24:43.000","4157025000","1300","2025",27,"N","도사7리신일아파트경로당","1800","N","4090449",2,"20230930","경기도 김포시 통진읍 김포대로 1991","20230520","Y","2021-03-09 15:48:45.000",,"1700","001",0,90,,"Y",37.6802363,41570010,,"003"
"498-0",,126.5927631,"N","0900","2025-04-30 15:13:40.000","4157025000","1300","2025",40,"N","마송휴먼시아매수리마을10단지경로당","1800","N","4090449",2,"20230930","경기도 김포시 통진읍 마송1로 134-25","20230520","Y","2021-03-09 15:48:45.000",,"1700","001",0,130.4,,"Y",37.6904859,41570011,,"003"
"416-6",,126.6051163,"N","0900","2025-04-30 15:10:55.000","4157025000","1300","2025",23,"N","서암2리경로당","1800","N","4090449",3,"20230930","경기도 김포시 통진읍 소서명로 31","20230520","Y","2021-03-09 15:48:45.000",,"1700","001",0,76.29,,"Y",37.6990035,41570012,,"003"
"571-1 청호아파트",,126.714011,"N","1300","2024-07-24 13:56:14.000","2820066000","0900","2025",24,"N","청호아파트경로당","1700","N","3530199",1,"20230930","인천광역시 남동구 남촌로93번길 44 (남촌동, 청호아파트)","20230520","Y","2021-03-08 09:03:04.000",,"1700","001",1,33,,"Y",37.427129,28200161,,"003"
"320-2 풍림아파트",,126.717712,"N","1300","2024-07-24 13:56:14.000","2820066000","0800","2025",35,"N","풍림1차아파트경로당","1700","N","3530199",1,"20230930","인천광역시 남동구 남촌동로15번길 21 (남촌동, 풍림아파트)","20230520","Y","2021-03-08 09:03:04.000",,"1700","001",1,127,,"Y",37.430746,28200162,,"003"
"179-92",,126.6950143,"Y","1300","2025-05-02 13:15:23.000","2823757000","1100","2025",20,,"산곡현대1차아파트경로당","1800",,"3540028",2,"20240930","인천광역시 부평구 원적로269번길 15","20240520","Y","2021-08-11 11:31:07.000",,"1800","001",3,107.76,,"Y",37.5051902,2823700118,"주말, 공휴일 탄력적 운영","003"
"391-3 남촌2차풍림아파트",,126.71787,"N","1300","2024-07-24 13:56:14.000","2820066000","0900","2025",40,"N","풍림2차아파트경로당","1700","N","3530199",1,"20230930","인천광역시 남동구 남촌동로 8 (남촌동, 남촌2차풍림아파트)","20230520","Y","2021-03-08 09:03:04.000",,"1700","001",1,111,,"Y",37.432072,28200163,,"003"
"649-0",,126.7173386,"N","1300","2024-07-24 13:56:14.000","2820066000","1300","2025",35,"N","풍림3차아파트경로당","1700","N","3530199",1,"20230930","인천광역시 남동구 남촌로84번길 38","20230520","Y","2021-03-08 09:03:04.000",,"1700","001",1,137,,"Y",37.4288766,28200164,,"003"
"502-0",,126.7607877,"N","0900","2025-04-29 15:44:36.000","4148055000","0900","2025",46,"N","별하람마을4단지경로당","1800","N","4060513",1,"20240930","경기도 파주시 별하람로 53 (당하동, 별하람마을4단지)","20240515","Y","2022-12-23 10:52:58.000",,"1800","001",1,183.34,,"Y",37.7419507,4148000520,,"003"
"1-825",,126.6426954,"N",,"2025-05-15 09:50:02.000","2814057000","0900","2025",10,"N","송현3동행정복지센터2층북카페",,"N","3500144",1,"20991231","인천광역시 동구 인중로 635-20 (송현동)","20240520","Y","2024-07-09 13:26:14.000",,"1800","001",1,45,,"Y",37.4823229,2814000075,,"001"
"500-1",,126.756319,"N",,"2025-05-09 13:50:36.000","4119270000","0900","2025",20,"N","다정한마을경남아너스빌경로당",,"N","3860514",1,"20240930","경기도 부천시 상동로 196","20240520","Y","2021-04-20 16:33:37.000",,"1700","001",1,124.5,,"Y",37.514738,41190891,,"003"
"527-3",,126.757153,"N",,"2025-05-09 13:50:44.000","4119270000","0900","2025",15,"N","진달래마을효성경로당",,"N","3860514",1,"20240930","경기도 부천시 원미구 계남로 72","20240520","Y","2021-04-20 16:33:37.000",,"1800","001",1,107.63,,"Y",37.50808,41190892,,"003"
"1041-4",,126.7127293,"N",,"2025-05-13 20:20:52.000","2826074000","0900","2025",30,"N","신한은행검단신도시지점",,"N","3560247",2,"99991231","인천광역시 서구 이음대로 392 (원당동)","20240610","Y","2024-06-05 11:45:46.000",,"1600","001",,291,,"Y",37.5925915,2826000310,,"004"
"93-0",932764.983823,126.7388824,,"0500","2025-05-13 13:18:12.000","2824572000","0500","2025",6,,"임학역지하1층대합실","0000","N","3550180",1,"20240930","인천광역시 계양구 장제로 지하875 (임학동)","20240709","Y","2024-07-08 20:49:04.000",,"2400","001",1,19.8,1949833.104639,"Y",37.5453804,2824500081,,"001"
"451-264",932560.262095,126.736296,,"0500","2025-05-12 14:10:01.000","2824571000","0500","2025",6,,"계양역1층대합실","0000","N","3550180",1,"20240930","인천광역시 계양구 다남로 24 (귤현동)","20240709","Y","2024-07-08 20:43:15.000",,"2400","001",1,19.8,1952758.660709,"Y",37.5717328,2824500079,,"001"
"2040-1",,126.6901678,"N",,"2024-06-09 18:36:40.000","4139059300",,"2025",8,"N","오이도경로당",,"N","4010322",1,"20240930","경기도 시흥시 오이도1길 30 (정왕동)","20240520","Y","2021-10-20 14:58:17.000",,,"001",2,85,,"Y",37.3418608,4139000323,,"003"
"1033-10",,126.715638,"N",,"2025-05-13 20:29:42.000","2826074000","0900","2025",30,"N","아라동행정복지센터",,"N","3560247",3,"99991231","인천광역시 서구 바리미로 23 (원당동)","20210805","Y","2021-08-16 15:09:50.000",,"1800","001",0,252.72,,"Y",37.593979,2826000293,,"001"
"1006-8",,126.751754,"N",,"2025-04-29 15:54:26.000","4148057000","0900","2025",20,"N","파주중앙새마을금고한빛지점",,"N","4060513",2,"20240930","경기도 파주시 와석순환로 66 (야당동)","20240501","Y","2024-08-23 14:57:47.000",,"1600","001",0,67,,"Y",37.7102855,4148000606,,"004"
"534-1",,126.7528296,"N",,"2025-05-11 15:06:05.000","4119270000","0900","2025",5,"N","부천농협신상동지점",,"N","3860750",2,"20240930","경기도 부천시 원미구 상동로 113 (상동)","20240805","Y","2024-08-08 14:12:00.000",,"1600","001",0,60,,"Y",37.5074896,4119201173,,"004"
"736-1",,126.6545126,"N",,"2025-05-13 19:33:18.000","2826068000","1000","2025",20,"N","우방아이유쉘아파트경로당",,"N","3560247",5,"99991231","인천광역시 서구 완정로 208 (금곡동, 검단우방아이유쉘)","20240610","Y","2024-06-02 10:15:42.000",,"1600","001",7,128,,"Y",37.6050882,2826000307,,"003"
"334-1",933113.692328,126.7426171,"N","0500","2025-05-13 13:16:37.000","2824573000","0500","2025",6,"N","귤현역2층대합실","0000","N","3550180",1,"20240930","인천광역시 계양구 만봉길 65 (귤현동)","20240709","Y","2024-07-08 20:51:17.000",,"2400","001",1,19.8,1952162.635921,"Y",37.5664013,2824500082,,"001"
"178-0",932068.89428,126.7315196,,,"2025-05-02 10:59:15.000","2823755000","1800","2025",114,,"부흥놀이공원",,,"3540026",0,,"인천광역시 부평구 부평문화로129번길 18-1",,"Y","2021-01-31 17:12:04.000",,"2400","001",0,3756,1944248.540222,"Y",37.4949966,2823793,,"002"
"100-38",929749.466739,126.7051375,"N","0500","2025-05-01 17:14:19.000","2823757000","0500","2025",20,"N","산곡역대합실","2300",,"3540028",1,"20240930","인천광역시 부평구 길주로 지하379 (산곡동)","20240520","Y","2022-08-03 20:13:34.000",,"2400","001",1,60,1945770.93835,"Y",37.5085441,2823700130,"운영시간: (평일) 05:49 ~ 1:00 (주말, 공휴일) 5:50 ~ 0:07","001"
"294-24",,126.6780522,"N",,"2025-05-13 20:19:49.000","2826054300","0900","2025",20,"N","신한은행루원시티지점",,"N","3560247",12,"99991231","인천광역시 서구 봉오대로 255 (가정동)","20240610","Y","2024-06-05 14:23:47.000",,"1600","001",,364,,"Y",37.5250944,2826000311,,"004"
"150-1",,126.6379426,"N",,"2025-05-13 17:34:26.000","2826053700","0900","2025",20,"N","청라푸르지오아파트경로당",,"N","3560247",1,"99991231","인천광역시 서구 크리스탈로102번길 25 (청라동, 청라푸르지오아파트)","20240610","Y","2024-06-02 10:18:31.000",,"1800","001",0,100,,"Y",37.5346865,2826000308,,"003"
"1848-4",,126.7281961,"N","0900","2024-06-09 18:37:19.000","4139059200","0900","2025",21,"N","진로아파트경로당","1800","N","4010322",1,"20240930","경기도 시흥시 중심상가로 104 (정왕동)","20240520","Y","2022-05-19 18:14:02.000",,"1800","001",3,30,,"Y",37.3481896,4139000361,,"003"
"1172-5",934561.18984,126.7596933,"N",,"2025-05-11 15:22:09.000","4119263000","0900","2025",5,"N","서문교회",,"N","3860750",2,"20240930","경기도 부천시 원미구 부흥로 153 (중동)","20240805","Y","2024-08-08 16:01:07.000",,"1800","005",0,100,1944456.659779,"Y",37.4970524,4119201194,,"004"
"458-7",,126.3913866,"N","0900","2024-05-10 19:49:56.000","2871038000","0900","2025",50,"N","교산2리경로당","1800","N","3570171",1,"20241015","인천광역시 강화군 양사면서사길 241","20240520","Y","2021-03-29 14:11:25.000",,"1800","001",1,137.4,,"Y",37.8009763,28710183,,"003"
"578-2",,126.685196,,,"2025-05-12 13:48:38.000","2818576300","1000","2025",24,,"주공3차아파트경로당",,,"3520229",1,"20240930","인천광역시 연수구 새말로 154","20240520","Y","2021-03-29 14:09:24.000",,"1800","001",2,79,,"Y",37.415586,28185020,,"003"
"546-105",931144.673584,126.7210803,,,"2025-05-02 10:58:04.000","2823751000","1800","2025",36,,"서부동놀이공원",,,"3540022",2,,"인천광역시 부평구 경원대로1367번길 48",,"Y","2021-01-31 17:12:04.000",,"2400","001",0,1200,1944086.24885,"Y",37.4934654,2823791,,"002"
"409-5",,126.7109145,,,"2025-05-02 10:45:08.000","2823759200","0900","2025",5,,"하나은행부평지점",,,"3540033",1,"20230930","인천광역시 부평구 안남로434번길 5 (청천동)","20230520","Y","2022-07-04 16:14:51.000",,"1600","001",0,16.5,,"Y",37.521762,2823700125,,"004"
"1603-0",,126.742833,"N",,"2024-06-09 18:35:34.000","4139059100","0900","2025",13,"N","귀한동포및외국인경로당",,"N","4010322",1,"20240930","경기도 시흥시 봉우재로37번길 17 (정왕동)","20240520","Y","2021-10-20 14:54:29.000",,"1800","001",2,137,,"Y",37.3469934,4139000322,,"003"
"537-1",926748.461685,126.6721219,,,"2025-05-12 13:11:15.000","2818576100","1800","2025",4,,"효정공원정자1",,,"3520222",,,"인천광역시 연수구 비류대로320번길 49 (연수동)",,"Y","2023-05-01 20:14:17.000",,"2400","001",,16,1936353.016123,"Y",37.4234291,2818500120,,"002"
"514-2",,126.505211,"Y","0900","2024-09-06 10:59:52.000","2871031000","0900","2025",42,"Y","연리(능진)경로당","1800",,"3570171",1,"20241015","인천광역시 강화군 선원면 연동로 109","20240520","Y","2021-03-29 14:11:25.000",,"1800","001",1,242,,"Y",37.704614,28710038,,"003"
"1603-0",,126.7428517,"N",,"2024-06-09 18:35:34.000","4139059100",,"2025",41,"N","정왕어울림카네이션하우스",,"N","4010322",1,"20240930","경기도 시흥시 봉우재로37번길 17 (정왕동)","20240520","Y","2021-07-22 17:37:20.000",,,"001",1,137,,"Y",37.3469977,4139000283,,"003"
"369-5",,126.505575,"Y","0900","2024-09-06 11:04:39.000","2871031000","0900","2025",73,"Y","지산1리경로당","1800",,"3570171",1,"20241015","인천광역시 강화군 선원면와말길 80-1 ","20240520","Y","2021-03-29 14:11:25.000",,"1800","001",1,160.38,,"Y",37.711803,28710039,,"003"
"626-3",,126.495173,"Y","0900","2024-09-06 11:06:51.000","2871031000","0900","2025",53,"Y","지산2리경로당","1800",,"3570171",1,"20241015","인천광역시 강화군 선원면선원사지로 190 ","20240520","Y","2021-03-29 14:11:25.000",,"1800","001",1,97.2,,"Y",37.720755,28710040,,"003"
"555-4",,126.500246,"Y","0900","2024-09-06 11:09:20.000","2871031000","0900","2025",38,"Y","신정1리(도감마을)경로당","1800",,"3570171",1,"20241015","인천광역시 강화군 선원면선원사지로 133 ","20240520","Y","2021-03-29 14:11:25.000",,"1800","001",1,124.24,,"Y",37.722677,28710041,,"003"
"945-0",931793.473206,126.7285121,,,"2025-04-29 13:43:01.000","2823756000","1800","2025",96,,"만월공원",,,"3540027",0,,"인천광역시 부평구 동수로 94",,"Y","2021-01-31 17:12:04.000","만월공원(달빛공원)","2400","001",0,3179.9,1943083.973174,"Y",37.4844802,2823794,"추가 관리자 : 부평구 시설관리공단 공원관리팀 임준서(032-262-9249)","002"
"561-1 서창자이",,126.750823,"N","1300","2024-07-24 13:56:14.000","2820065500","0900","2025",22,"N","서창자이아파트경로당","1700","N","3530199",1,"20230930","인천광역시 남동구 장아산로 157 (서창동, 서창자이)","20230520","Y","2021-03-08 09:03:04.000",,"1700","001",1,96,,"Y",37.437192,28200140,,"003"
"1087-2",,126.736365,"N","1100","2024-07-24 13:56:14.000","2820056000","0900","2025",39,"N","만수6동경로당","1500","N","3530199",1,"20230930","인천광역시 남동구 담방서로3번길 17 (만수동)","20230520","Y","2021-03-08 09:03:04.000",,"1700","001",1,174,,"Y",37.44558,28200116,,"003"
"1036 진흥아파트",,126.742039,"N","1100","2024-07-24 13:56:14.000","2820056000","0900","2025",34,"N","진흥아파트경로당","1500","N","3530199",1,"20230930","인천광역시 남동구 장승남로81번길 16 (만수동, 진흥아파트)","20230520","Y","2021-03-08 09:03:04.000",,"1700","001",1,115,,"Y",37.444226,28200117,,"003"
"178-0",,126.6357163,,,"2025-05-15 09:49:35.000","2814055500","0900","2025",30,,"송현1.2동행정복지센터",,,"3500144",2,"20231231","인천광역시 동구 송현동 178","20210701","Y","2021-03-16 17:57:05.000",,"1800","001",18,266,,"Y",37.4765248,28140021,,"001"
"162-14",,126.650266,"N",,"2025-05-13 20:19:43.000","2826053600","0900","2025",15,"N","신한은행청라국제도시지점",,"N","3560247",2,"99991231","인천광역시 서구 중봉대로 588 (청라동)","20220704","Y","2022-07-07 10:43:38.000",,"1600","001",0,492.74,,"Y",37.5321162,2826000299,,"004"
"552-23",,126.6763112,"N",,"2025-05-13 20:19:57.000","2826060000","0900","2025",15,"N","하나은행주안공단지점",,"N","3560247",1,"99991231","인천광역시 서구 장고개로 192 (가좌동)","20220704","Y","2022-07-07 10:47:38.000",,"1600","001",1,100,,"Y",37.4829892,2826000300,,"004"
"30-49",,126.6827895,"N",,"2025-05-13 20:19:53.000","2826059000","0900","2025",15,"N","하나은행가좌동출장소",,"N","3560247",1,"99991231","인천광역시 서구 원적로 100 (가좌동)","20220704","Y","2022-07-07 10:56:59.000",,"1600","001",1,100,,"Y",37.4950332,2826000301,,"004"
"1092-10",,126.6764323,"N",,"2025-05-13 20:20:00.000","2826071000","0900","2025",20,"N","하나은행검단지점",,"N","3560247",1,"99991231","인천광역시 서구 원당대로 676 (당하동)","20220704","Y","2022-07-07 10:59:39.000",,"1600","001",1,100,,"Y",37.5933461,2826000302,,"004"
"162-9",,126.6531175,"N",,"2025-05-13 20:19:41.000","2826053600","0900","2025",15,"N","하나은행인천청라지점",,"N","3560247",2,"99991231","인천광역시 서구 청라라임로 65 (청라동)","20220704","Y","2022-07-07 11:08:14.000",,"1600","001",0,100,,"Y",37.5335536,2826000303,,"004"
"30-130",927602.814433,126.68067,,,"2025-05-13 17:16:11.000","2826059000","1800","2025",35,,"진주체육공원",,,"3560184",,,"인천광역시 서구 원적로 46",,"Y","2021-04-26 15:54:05.000","공원 전체","2400","001",,230,1943885.138715,"Y",37.491303,2826123,,"002"
"1-825",,126.6426547,"N",,"2025-05-15 09:50:14.000","2814057000","0900","2025",10,"N","송현3동행정복지센터",,"N","3500144",1,"20231231","인천광역시 동구 인중로 635-20","20210701","Y","2021-03-16 17:57:05.000",,"1800","001",1,45,,"Y",37.4822461,28140022,,"001"
"1-57",,126.6417325,"N",,"2025-05-14 17:48:54.000","2814057000","0900","2025",50,"N","송현아파트경로당",,"N","3500144",1,"20231231","인천광역시 동구 인중로 621 (송현동, 송현1차아파트)","20220425","Y","2021-03-16 17:57:05.000",,"1800","001",3,80,,"Y",37.4820526,28140023,,"003"
"230-6",,126.6396993,"N",,"2025-05-15 09:50:24.000","2814058000","0900","2025",15,"N","송림1동행정복지센터",,"N","3500144",1,"20231231","인천광역시 동구 금곡로 35 (송림동, 예공바흐카운티)","20210701","Y","2021-03-16 17:57:05.000",,"1800","001",4,115,,"Y",37.4736405,28140025,,"001"
"124-48",,126.644496,"N",,"2025-05-14 17:50:41.000","2814059000","0900","2025",481,"N","동구노인복지관",,"N","3500112",9,"20231231","인천광역시 동구 샛골로 177","20210601","Y","2021-03-16 17:57:05.000",,"1800","001",14,1924,,"Y",37.478332,28140027,,"003"
"124-16",,126.6434936,"N",,"2025-05-14 17:51:04.000","2814059000","0900","2025",54,"N","송림2동경로당",,"N","3500144",2,"20231231","인천광역시 동구 솔빛로85번길 56","20210601","Y","2021-03-16 17:57:05.000",,"1800","001",3,219,,"Y",37.478686,28140028,,"003"
"537 태평아파트",,126.747395,"N","1300","2024-07-24 13:56:14.000","2820065500","0900","2025",42,"N","태평1차아파트경로당","1700","N","3530199",1,"20230930","인천광역시 남동구 장아산로128번길 22 (서창동, 태평아파트)","20230520","Y","2021-03-08 09:03:04.000",,"1700","001",1,171,,"Y",37.43948,28200135,,"003"
"538 태평아파트",,126.752176,"N","1300","2024-07-24 13:56:14.000","2820065500","0900","2025",41,"N","서창태평2차아파트경로당","1700","N","3530199",1,"20230930","인천광역시 남동구 장아산로 181 (서창동, 태평아파트)","20230520","Y","2021-03-08 09:03:04.000",,"1700","001",1,155,,"Y",37.435368,28200136,,"003"
"560-4",933540.303909,126.7487472,"N","1300","2024-08-02 10:55:33.000","2820065000","0900","2025",50,,"서창임광그대가아파트","1700",,"3530199",1,"20230930","인천광역시 남동구 장아산로 158 (서창동, 임광 그대가)","20230520","Y","2021-03-08 09:03:04.000",,"1700","001",1,94,1937782.104157,"Y",37.4368221,28200137,,"003"
"221-6",,126.7378687,"N","0900","2025-04-29 17:03:03.000","4148032000","0900","2025",58,"N","낙하리경로당","1800","N","4060513",1,"20240930","경기도 파주시 탄현면동오리길 143","20240515","Y","2021-04-29 15:43:35.000",,"1800","001",3,118,,"Y",37.837381,41480131,,"003"
"209-1",,126.7264974,"N","0900","2025-04-29 17:03:11.000","4148032000","0900","2025",57,"N","문지리경로당","1800","N","4060513",2,"20240930","경기도 파주시 탄현면방촌로955번길 12-3","20240515","Y","2021-04-29 15:43:35.000",,"1800","001",2,166,,"Y",37.8234613,41480132,,"003"
"404-2",,126.7079374,"N","0900","2025-04-29 17:03:39.000","4148032000","0900","2025",76,"N","오금1리경로당(철거,휴지예정)","1800","N","4060513",1,"20240930","경기도 파주시 탄현면 오금리 404-2","20240515","Y","2021-04-29 15:43:35.000",,"1800","001",3,40,,"Y",37.8248809,41480133,,"003"
"1042 광명아파트",,126.737527,"N","1100","2024-07-24 13:56:14.000","2820056000","0900","2025",38,"N","만수광명아파트경로당","1500","N","3530199",1,"20230930","인천광역시 남동구 담방로21번길 24 (만수동, 광명아파트)","20230520","Y","2021-03-08 09:03:04.000",,"1700","001",1,171,,"Y",37.442349,28200118,,"003"
"1045 한국아파트",,126.737311,"N","1100","2024-07-24 13:56:14.000","2820056000","0900","2025",51,"N","한국아파트경로당","1500","N","3530199",1,"20230930","인천광역시 남동구 담방로21번길 23 (만수동, 한국아파트)","20230520","Y","2021-03-08 09:03:04.000",,"1700","001",1,191,,"Y",37.441103,28200119,,"003"
"173-3",,126.7072318,"N","0900","2025-04-29 17:03:46.000","4148032000","0900","2025",80,"N","금산2리경로당","1800","N","4060513",1,"20240930","경기도 파주시 탄현면새오리로540번길 32","20240515","Y","2021-04-29 15:43:35.000",,"1800","001",1,59,,"Y",37.8111206,41480134,,"003"
"491-2",,126.7113042,"N","0900","2025-04-29 17:03:53.000","4148032000","0900","2025",59,"N","법흥2리경로당","1800","N","4060513",1,"20240930","경기도 파주시 탄현면국화향길 92","20240515","Y","2021-04-29 15:43:35.000",,"1800","001",3,89,,"Y",37.7804452,41480135,,"003"
"558-2",,126.7473937,"N",,"2024-07-24 13:56:14.000","2820065000","0900","2025",30,"N","장수서창동행정복지센터",,"N","3530199",1,"20230930","인천광역시 남동구 독곡로 28","20230520","Y","2021-03-08 09:03:04.000",,"1800","001",0,1586,,"Y",37.4359016,28200141,,"001"
"745-0",,126.7579307,"N",,"2024-07-24 13:56:14.000","2820065500","1100","2025",40,"N","서창꿈에그린아파트",,"N","3530199",6,"20230930","인천광역시 남동구 운연천로 11","20230520","Y","2021-03-08 09:03:04.000",,"1700","001",2,199,,"Y",37.4300843,28200142,,"003"
"282-11",,126.697155,,,"2025-05-02 10:51:48.000","2823768000","0900","2025",20,,"산곡십정새마을금고십정지점",,,"3540041",3,"20230930","인천광역시 부평구 열우물로87번길 6","20230520","Y","2021-01-31 17:11:45.000",,"1700","001",0,192.5,,"Y",37.4749641,28237082,,"004"
"168-15",,126.7002101,,,"2025-05-02 10:53:06.000","2823768000","0900","2025",10,,"산곡십정새마을금고부흥지점",,,"3540041",3,"20230930","인천광역시 부평구 경원대로1130번길 19","20230520","Y","2021-01-31 17:11:45.000",,"1700","001",0,258.47,,"Y",37.4807148,28237083,,"004"
